name
Drama
Poetry
Fantasy
Fairy Tale
Epic Fantasy
High Fantasy
Gothic
Science Fiction
Utopian and Dystopian
Utopian
Dystopian
Cyberpunk
Steampunk
Space Opera
Time Travel
Tech Noir
Romance
Contemporary Romance
Historical Romance
Romantic Suspense
Mystery
Crime
Thriller
Police Procedural
Legal Thriller
Medical Thriller
Spy Thriller
Detective
Suspense
Noir
Nordic Noir
Tart Noir
Cozy Mystery
Adventure
Short Story
Graphic Novel
Non-Fiction
Biography
Autobiography
Essay
Speech
